step,entropy
1,0.0
2,-6.406853007629837e-16
3,-6.406853007629837e-16
4,0.0
5,3.2034265038149176e-16
6,3.2034265038149226e-16
7,-6.406853007629837e-16
8,1.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,1.3065508741280319e-30
15,0.9999999999999998
16,0.9999999999999999
17,3.2034265038149176e-16
18,0.0
19,0.0
20,-6.406853007629835e-16
21,0.0
22,-6.406853007629832e-16
23,0.0
24,0.6008760366928562
